"SERIES_ID","season","TEAM_A","TEAM_B","WINNER","TEAM_ID_A","TEAM_ID_B","WIN_PCT_DIFF","NET_RATING_DIFF","TS_DIFF","THREE_PT_DIFF","OFF_RATING_DIFF","DEF_RATING_DIFF","EFG_DIFF","OREB_DIFF","TOV_DIFF","PLUS_MINUS_DIFF","SOS_DIFF","SRS_DIFF","H2H_WIN_PCT_DIFF","H2H_TS_PCT_DIFF","H2H_EFG_PCT_DIFF","H2H_POINT_DIFF_DIFF"
"Atlanta Hawks vs Boston Celtics","2015-16","Atlanta Hawks","Boston Celtics",1,1610612737,1610612738,0,0.6,0.021,0.043278586609421,-1.2,-1.7,0.028,-0.056,0.014,0.5,0.0110000000000001,0.511,0.5,0.0754174670626994,0.0789715336191713,15
"Atlanta Hawks vs Cleveland Cavaliers","2015-16","Atlanta Hawks","Cleveland Cavaliers",0,1610612737,1610612739,-0.11,-2.4,-0.00600000000000001,-0.016515585493858,-5.60000000000001,-3.10000000000001,-0.00800000000000001,-0.06,0.00900000000000001,-2.5,0.017109756097561,-2.48289024390244,-1,-0.053544612549409,-0.0589224872797933,-19.3333333333333
"Charlotte Hornets vs Miami Heat","2015-16","Charlotte Hornets","Miami Heat",0,1610612766,1610612748,0,1,0,0.127170795015013,0.900000000000006,0,-0.00600000000000001,-0.036,-0.019,0.9,-0.00670731707317096,0.89329268292684,0,-0.0115507388282122,-0.000571400843198733,4
"Cleveland Cavaliers vs Detroit Pistons","2015-16","Cleveland Cavaliers","Detroit Pistons",1,1610612739,1610612765,0.158,6,0.036,0.049406931308523,4.90000000000001,-1,0.033,-0.019,0.00299999999999997,5.90000000000001,-0.012012195121951,5.88798780487805,-0.5,0.000432106326573201,0.00729032982985289,-3.5
"Cleveland Cavaliers vs Golden State Warriors","2015-16","Cleveland Cavaliers","Golden State Warriors",1,1610612739,1610612744,-0.195,-4.3,-0.0349999999999999,-0.00956464406701096,-3.3,1.10000000000001,-0.0389999999999999,0.027,-0.00700000000000001,-4.4,-0.00132926829268298,-4.40132926829271,-1,-0.114016064566566,-0.11358478982318,-40
"Cleveland Cavaliers vs Toronto Raptors","2015-16","Cleveland Cavaliers","Toronto Raptors",1,1610612739,1610612761,0.0119999999999999,1.9,0.00600000000000001,0.065347598723722,0.900000000000006,-0.899999999999991,0.02,-0.00600000000000001,0.00399999999999998,1.8,-0.00295121951219501,1.7970487804878,-0.333333333333333,0.0341855368275445,0.0251744796093002,10.6666666666667
"Dallas Mavericks vs Oklahoma City Thunder","2015-16","Dallas Mavericks","Oklahoma City Thunder",0,1610612742,1610612760,-0.159,-7.8,-0.0209999999999999,0.064780357632536,-6.59999999999999,1.10000000000001,-0.022,-0.106,-0.03,-7.70000000000001,0.0142926829268291,-7.68570731707317,-1,-0.0398621752617778,-0.0555972970623755,-19
"Golden State Warriors vs Houston Rockets","2015-16","Golden State Warriors","Houston Rockets",1,1610612744,1610612745,0.39,10.6,0.0399999999999999,-0.00788130028122702,6.2,-4.5,0.0469999999999999,-0.03,-0.011,10.7,-0.0185975609756101,10.6814024390244,1,0.0343220668382762,0.0617485107646147,24.6666666666667
"Golden State Warriors vs Oklahoma City Thunder","2015-16","Golden State Warriors","Oklahoma City Thunder",1,1610612744,1610612760,0.219,3.2,0.028,0.08742180824401,1.40000000000001,-2,0.0389999999999999,-0.08,-0.012,3.4,-0.008768292682927,3.3912317073171,1,0.0412657303999556,0.0675416299744611,17.3333333333333
"Golden State Warriors vs Portland Trail Blazers","2015-16","Golden State Warriors","Portland Trail Blazers",1,1610612744,1610612757,0.353,9.8,0.0449999999999999,0.030243558648364,5.90000000000001,-4,0.0519999999999999,-0.027,0,9.9,-0.018134146341463,9.88186585365856,0.5,0.0472507706140022,0.0467449106064107,14.5
