TEAM_NAME,REG_TS_PCT,REG_EFG_PCT,SEASON,PLAYOFF_GAMES,PLAYOFF_WINS,PLAYOFF_WIN_PCT
Atlanta Hawks,0.563,0.527,2014-15,16,8,0.5
Boston Celtics,0.523,0.489,2014-15,4,0,0.0
Brooklyn Nets,0.529,0.491,2014-15,6,2,0.3333333333333333
Chicago Bulls,0.536,0.489,2014-15,12,6,0.5
Cleveland Cavaliers,0.557,0.52,2014-15,20,14,0.7
Dallas Mavericks,0.55,0.515,2014-15,5,1,0.2
Golden State Warriors,0.571,0.54,2014-15,21,16,0.7619047619047619
Houston Rockets,0.548,0.512,2014-15,17,9,0.5294117647058824
Los Angeles Clippers,0.565,0.533,2014-15,14,7,0.5
Memphis Grizzlies,0.531,0.489,2014-15,11,6,0.5454545454545454
Milwaukee Bucks,0.536,0.499,2014-15,6,2,0.3333333333333333
New Orleans Pelicans,0.537,0.501,2014-15,4,0,0.0
Portland Trail Blazers,0.544,0.508,2014-15,5,1,0.2
San Antonio Spurs,0.555,0.517,2014-15,7,3,0.42857142857142855
Toronto Raptors,0.553,0.508,2014-15,4,0,0.0
Washington Wizards,0.534,0.499,2014-15,10,6,0.6
Atlanta Hawks,0.552,0.516,2015-16,10,4,0.4
Boston Celtics,0.531,0.488,2015-16,6,2,0.3333333333333333
Charlotte Hornets,0.545,0.502,2015-16,7,3,0.42857142857142855
Cleveland Cavaliers,0.558,0.524,2015-16,21,16,0.7619047619047619
Dallas Mavericks,0.544,0.502,2015-16,5,1,0.2
Detroit Pistons,0.522,0.491,2015-16,4,0,0.0
Golden State Warriors,0.593,0.563,2015-16,24,15,0.625
Houston Rockets,0.553,0.516,2015-16,5,1,0.2
Indiana Pacers,0.536,0.497,2015-16,7,3,0.42857142857142855
LA Clippers,0.556,0.524,2015-16,6,2,0.3333333333333333
Memphis Grizzlies,0.524,0.477,2015-16,4,0,0.0
Miami Heat,0.545,0.508,2015-16,14,7,0.5
Oklahoma City Thunder,0.565,0.524,2015-16,18,11,0.6111111111111112
Portland Trail Blazers,0.548,0.511,2015-16,11,5,0.45454545454545453
San Antonio Spurs,0.564,0.526,2015-16,10,6,0.6
Toronto Raptors,0.552,0.504,2015-16,20,10,0.5
Atlanta Hawks,0.541,0.504,2016-17,6,2,0.3333333333333333
Boston Celtics,0.567,0.525,2016-17,18,9,0.5
Chicago Bulls,0.53,0.487,2016-17,6,2,0.3333333333333333
Cleveland Cavaliers,0.58,0.547,2016-17,18,13,0.7222222222222222
Golden State Warriors,0.597,0.563,2016-17,17,16,0.9411764705882353
Houston Rockets,0.583,0.545,2016-17,11,6,0.5454545454545454
Indiana Pacers,0.558,0.516,2016-17,4,0,0.0
LA Clippers,0.574,0.537,2016-17,7,3,0.42857142857142855
Memphis Grizzlies,0.535,0.491,2016-17,6,2,0.3333333333333333
Milwaukee Bucks,0.565,0.527,2016-17,6,2,0.3333333333333333
Oklahoma City Thunder,0.54,0.5,2016-17,5,1,0.2
Portland Trail Blazers,0.559,0.52,2016-17,4,0,0.0
San Antonio Spurs,0.564,0.524,2016-17,16,8,0.5
Toronto Raptors,0.561,0.517,2016-17,10,4,0.4
Utah Jazz,0.563,0.526,2016-17,11,4,0.36363636363636365
Washington Wizards,0.564,0.528,2016-17,13,7,0.5384615384615384
Boston Celtics,0.552,0.518,2017-18,19,11,0.5789473684210527
Cleveland Cavaliers,0.584,0.547,2017-18,22,12,0.5454545454545454
Golden State Warriors,0.603,0.569,2017-18,21,16,0.7619047619047619
Houston Rockets,0.59,0.551,2017-18,17,11,0.6470588235294118
Indiana Pacers,0.557,0.525,2017-18,7,3,0.42857142857142855
Miami Heat,0.551,0.52,2017-18,5,1,0.2
Milwaukee Bucks,0.571,0.531,2017-18,7,3,0.42857142857142855
Minnesota Timberwolves,0.566,0.523,2017-18,5,1,0.2
New Orleans Pelicans,0.573,0.541,2017-18,9,5,0.5555555555555556
Oklahoma City Thunder,0.546,0.514,2017-18,6,2,0.3333333333333333
Philadelphia 76ers,0.568,0.535,2017-18,10,5,0.5
Portland Trail Blazers,0.549,0.511,2017-18,4,0,0.0
San Antonio Spurs,0.543,0.507,2017-18,5,1,0.2
Toronto Raptors,0.575,0.539,2017-18,10,4,0.4
Utah Jazz,0.564,0.527,2017-18,11,5,0.45454545454545453
Washington Wizards,0.56,0.525,2017-18,6,2,0.3333333333333333
Boston Celtics,0.567,0.534,2018-19,9,5,0.5555555555555556
Brooklyn Nets,0.556,0.52,2018-19,5,1,0.2
Denver Nuggets,0.558,0.527,2018-19,14,7,0.5
Detroit Pistons,0.544,0.509,2018-19,4,0,0.0
Golden State Warriors,0.596,0.565,2018-19,22,14,0.6363636363636364
Houston Rockets,0.581,0.542,2018-19,11,6,0.5454545454545454
Indiana Pacers,0.561,0.53,2018-19,4,0,0.0
LA Clippers,0.575,0.529,2018-19,6,2,0.3333333333333333
Milwaukee Bucks,0.583,0.55,2018-19,15,10,0.6666666666666666
Oklahoma City Thunder,0.545,0.514,2018-19,5,1,0.2
Orlando Magic,0.55,0.518,2018-19,5,1,0.2
Philadelphia 76ers,0.574,0.532,2018-19,12,7,0.5833333333333334
Portland Trail Blazers,0.568,0.528,2018-19,16,8,0.5
San Antonio Spurs,0.572,0.534,2018-19,7,3,0.42857142857142855
Toronto Raptors,0.579,0.543,2018-19,24,16,0.6666666666666666
Utah Jazz,0.572,0.538,2018-19,5,1,0.2
Boston Celtics,0.57,0.531,2019-20,17,10,0.5882352941176471
Brooklyn Nets,0.554,0.52,2019-20,4,0,0.0
Dallas Mavericks,0.581,0.545,2019-20,6,2,0.3333333333333333
Denver Nuggets,0.567,0.535,2019-20,19,9,0.47368421052631576
Houston Rockets,0.578,0.537,2019-20,12,5,0.4166666666666667
Indiana Pacers,0.565,0.534,2019-20,4,0,0.0
LA Clippers,0.577,0.535,2019-20,13,7,0.5384615384615384
Los Angeles Lakers,0.573,0.542,2019-20,21,16,0.7619047619047619
Miami Heat,0.587,0.547,2019-20,21,14,0.6666666666666666
Milwaukee Bucks,0.583,0.552,2019-20,10,5,0.5
Oklahoma City Thunder,0.573,0.53,2019-20,7,3,0.42857142857142855
Orlando Magic,0.544,0.506,2019-20,5,1,0.2
Philadelphia 76ers,0.566,0.534,2019-20,4,0,0.0
Portland Trail Blazers,0.57,0.533,2019-20,5,1,0.2
Toronto Raptors,0.574,0.536,2019-20,11,7,0.6363636363636364
Utah Jazz,0.585,0.549,2019-20,7,3,0.42857142857142855
